"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num District total","num District rptg","over votes","under votes"
243,"West Deptford Membership BOE (Vote For 3)"," - KRISTIN P. O'NEIL","",3207,23.38,15926,6594,19,19,"0","0"
244,"West Deptford Membership BOE (Vote For 3)"," - ANTHONY SCIRROTTO","",2810,20.49,15926,6594,19,19,"0","0"
245,"West Deptford Membership BOE (Vote For 3)"," - CHRISTINE KANE","",2471,18.02,15926,6594,19,19,"0","0"
246,"West Deptford Membership BOE (Vote For 3)"," - DREW RICCHIUTI","",1367,9.97,15926,6594,19,19,"0","0"
247,"West Deptford Membership BOE (Vote For 3)","Write-In","",98,0.71,15926,6594,19,19,"0","0"
248,"West Deptford Unex. 1 Yr Term (Vote For 2)"," - TYLER WILLIAM COBB","",3281,45.54,15926,6594,19,19,"0","0"
249,"West Deptford Unex. 1 Yr Term (Vote For 2)"," - MATTHEW HOWARD HUESSER","",3514,48.78,15926,6594,19,19,"0","0"
250,"West Deptford Unex. 1 Yr Term (Vote For 2)","Write-In","",409,5.68,15926,6594,19,19,"0","0"
251,"Westville Membership BOE (Vote For 3)"," - COLLEEN T. COLLINS","",605,33.93,2724,871,3,3,"0","0"
252,"Westville Membership BOE (Vote For 3)"," - JESSE MCCULLOUGH","",587,32.92,2724,871,3,3,"0","0"
253,"Westville Membership BOE (Vote For 3)"," - SCOTT C. MAGILL","",577,32.36,2724,871,3,3,"0","0"
254,"Westville Membership BOE (Vote For 3)","Write-In","",14,0.79,2724,871,3,3,"0","0"
255,"Westville Member Unex. 1 yr (Vote For 1)"," - KATHLEEN BURGO","",600,98.85,2724,871,3,3,"0","0"
256,"Westville Member Unex. 1 yr (Vote For 1)","Write-In","",7,1.15,2724,871,3,3,"0","0"
257,"Woodbury Membership BOE (Vote For 3)"," - STEVEN R. ABBOTT","",1669,33.88,6536,2507,11,11,"0","0"
258,"Woodbury Membership BOE (Vote For 3)"," - KATHLEEN L. MANGERI","",1674,33.98,6536,2507,11,11,"0","0"
259,"Woodbury Membership BOE (Vote For 3)"," - JOSEPH L. COLDREN","",1547,31.40,6536,2507,11,11,"0","0"
260,"Woodbury Membership BOE (Vote For 3)","Write-In","",36,0.73,6536,2507,11,11,"0","0"
261,"Woodbury Heights Membership BOE (Vote For 3)"," - SHELLE M. MCGOVERN","",685,48.58,2258,986,4,4,"0","0"
262,"Woodbury Heights Membership BOE (Vote For 3)"," - DONNETTA BEATTY","",638,45.25,2258,986,4,4,"0","0"
263,"Woodbury Heights Membership BOE (Vote For 3)","Write-In","",87,6.17,2258,986,4,4,"0","0"
264,"Woodbury Hts Member Unx 1 yr Term (Vote For 1)"," - JEFFREY R. BRENNER","",695,99.00,2258,986,4,4,"0","0"
265,"Woodbury Hts Member Unx 1 yr Term (Vote For 1)","Write-In","",7,1.00,2258,986,4,4,"0","0"
266,"Clearview Reg. Harrison Membership BOE (Vote For 1)"," - GREGORY FULLER","",2707,98.65,9423,4096,9,9,"0","0"
267,"Clearview Reg. Harrison Membership BOE (Vote For 1)","Write-In","",37,1.35,9423,4096,9,9,"0","0"
268,"Clearview Reg. Mantua Membership BOE (Vote For 2)"," - DAVID S. BURGIN","",2941,49.36,11298,4478,12,12,"0","0"
269,"Clearview Reg. Mantua Membership BOE (Vote For 2)"," - MICHELE GIAQUINTO","",2980,50.02,11298,4478,12,12,"0","0"
270,"Clearview Reg. Mantua Membership BOE (Vote For 2)","Write-In","",37,0.62,11298,4478,12,12,"0","0"
271,"Delsea Reg. Franklin Membership BOE (Vote For 3)"," - JAMES D. ROHRER","",1567,15.00,11737,4694,11,11,"0","0"
272,"Delsea Reg. Franklin Membership BOE (Vote For 3)"," - MARIO CHRISTINA","",1652,15.81,11737,4694,11,11,"0","0"
273,"Delsea Reg. Franklin Membership BOE (Vote For 3)"," - KATHIE P. CATUCCI","",1804,17.27,11737,4694,11,11,"0","0"
274,"Delsea Reg. Franklin Membership BOE (Vote For 3)"," - HARRY J. KENNEDY","",1864,17.84,11737,4694,11,11,"0","0"
275,"Delsea Reg. Franklin Membership BOE (Vote For 3)"," - MICHELLE ISNER","",1592,15.24,11737,4694,11,11,"0","0"
276,"Delsea Reg. Franklin Membership BOE (Vote For 3)"," - JAMES A. KELLY","",1945,18.62,11737,4694,11,11,"0","0"
277,"Delsea Reg. Franklin Membership BOE (Vote For 3)","Write-In","",22,0.21,11737,4694,11,11,"0","0"
278,"Gateway Reg. Nat. Park Membership BOE (Vote For 1)","Write-In","",21,100.00,2017,742,4,4,"0","0"
279,"Gateway Reg. Westville Membership BOE (Vote For 1)"," - HARRY J. BUSH","",595,98.84,2724,871,3,3,"0","0"
280,"Gateway Reg. Westville Membership BOE (Vote For 1)","Write-In","",7,1.16,2724,871,3,3,"0","0"
281,"Gateway Reg. Woodbury Hgts Member BOE (Vote For 1)"," - MARY ORTNER","",361,47.88,2258,986,4,4,"0","0"
282,"Gateway Reg. Woodbury Hgts Member BOE (Vote For 1)"," - JUDI PYE","",379,50.27,2258,986,4,4,"0","0"
283,"Gateway Reg. Woodbury Hgts Member BOE (Vote For 1)","Write-In","",14,1.86,2258,986,4,4,"0","0"
284,"Kingsway Swedesboro Membership BOE (Vote For 1)","Write-In","",50,100.00,1627,540,2,2,"0","0"
285,"Kingsway Woolwich Membership BOE (Vote For 2)"," - LISA MORDECAI-DANIEL","",1939,49.53,8216,3226,8,8,"0","0"
286,"Kingsway Woolwich Membership BOE (Vote For 2)"," - PAMELA RONEY","",1933,49.37,8216,3226,8,8,"0","0"
287,"Kingsway Woolwich Membership BOE (Vote For 2)","Write-In","",43,1.10,8216,3226,8,8,"0","0"
288,"PUBLIC QUESTION NO. 1 (Vote For 1)","Yes","",36960,55.87,206681,79138,229,229,"0","0"
289,"PUBLIC QUESTION NO. 1 (Vote For 1)","No","",29199,44.13,206681,79138,229,229,"0","0"
290,"PUBLIC QUESTION NO. 2 (Vote For 1)","Yes","",44474,67.63,206681,79138,229,229,"0","0"
291,"PUBLIC QUESTION NO. 2 (Vote For 1)","No","",21291,32.37,206681,79138,229,229,"0","0"
