Race,Candidate,Vote Type,Locality,Votes
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Election,Monroe Ward 2 Provisional,9
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Total Votes,Monroe Ward 2 Provisional,9
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Election,Monroe Ward 3 Mail-In Ballot,180
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Total Votes,Monroe Ward 3 Mail-In Ballot,180
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Election,Monroe Ward 3 Provisional,16
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Total Votes,Monroe Ward 3 Provisional,16
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Election,Monroe Ward 4 Mail-In Ballot,184
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Total Votes,Monroe Ward 4 Mail-In Ballot,184
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Election,Monroe Ward 4 Provisional,16
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Total Votes,Monroe Ward 4 Provisional,16
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Election,Total:,16503
State Senate 4th Legislative District (Vote For 1),- FRED H. MADDEN,Total Votes,Total:,16503
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 1,1
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 1,1
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 2,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 2,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 3,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 3,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 4,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 4,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 5,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 5,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 6,5
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 6,5
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 7,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 7,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 8,5
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 8,5
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 9,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 9,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 10,1
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 10,1
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 11,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 11,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 12,7
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 12,7
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 13,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 13,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 14,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 14,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 15,7
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 15,7
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 16,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 16,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 17,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 17,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 18,5
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 18,5
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 19,11
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 19,11
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 20,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 20,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 21,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 21,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 22,8
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 22,8
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 23,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 23,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 24,8
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 24,8
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 25,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 25,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe District 26,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe District 26,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman District 1,8
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman District 1,8
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman District 2,5
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman District 2,5
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman District 3,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman District 3,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman District 4,10
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman District 4,10
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman District 5,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman District 5,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman District 6,8
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman District 6,8
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman District 7,8
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman District 7,8
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 1,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 1,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 2,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 2,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 3,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 3,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 4,7
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 4,7
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 5,7
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 5,7
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 6,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 6,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 7,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 7,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 8,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 8,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 9,5
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 9,5
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 10,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 10,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 11,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 11,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 12,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 12,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 13,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 13,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 14,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 14,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 15,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 15,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 16,8
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 16,8
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 17,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 17,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 18,8
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 18,8
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 19,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 19,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 20,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 20,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 21,0
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 21,0
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 22,5
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 22,5
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 23,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 23,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 24,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 24,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 25,0
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 25,0
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 26,8
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 26,8
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 27,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 27,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 28,7
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 28,7
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 29,7
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 29,7
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 30,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 30,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 31,5
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 31,5
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 32,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 32,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 33,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 33,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 34,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 34,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 35,1
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 35,1
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 36,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 36,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 37,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 37,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 38,6
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 38,6
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington District 39,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington District 39,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Mail-In Ballot,0
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Mail-In Ballot,0
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman Mail-In Ballot,2
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman Mail-In Ballot,2
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Pitman Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Pitman Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington Mail-In Ballot,47
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington Mail-In Ballot,47
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Washington Provisional,1
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Washington Provisional,1
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Ward 1 Mail-In Ballot,7
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Ward 1 Mail-In Ballot,7
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Ward 1 Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Ward 1 Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Ward 2 Mail-In Ballot,5
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Ward 2 Mail-In Ballot,5
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Ward 2 Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Ward 2 Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Ward 3 Mail-In Ballot,4
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Ward 3 Mail-In Ballot,4
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Ward 3 Provisional,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Ward 3 Provisional,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Ward 4 Mail-In Ballot,3
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Ward 4 Mail-In Ballot,3
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Monroe Ward 4 Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Monroe Ward 4 Provisional,0
State Senate 4th Legislative District (Vote For 1),Write-In,Election,Total:,394
State Senate 4th Legislative District (Vote For 1),Write-In,Total Votes,Total:,394
